time, util
715, 0.712158
716, 0.723181
717, 0.732549
718, 0.743234
719, 0.753815
720, 0.764029
721, 0.772382
722, 0.782058
723, 0.792265
724, 0.801488
725, 0.811637
726, 0.821115
727, 0.831193
728, 0.840407
729, 0.849274
730, 0.858941
731, 0.867483
732, 0.877341
733, 0.887557
734, 0.895604
735, 0.904991
736, 0.914482
737, 0.923619
738, 0.930885
739, 0.938671
740, 0.945297
741, 0.945297
742, 0.945297
743, 0.945297
744, 0.945297
745, 0.945297
746, 0.945297
747, 0.945297
748, 0.945297
749, 0.945297
750, 0.945297
751, 0.233126
752, 0.258243
753, 0.283301
754, 0.306541
755, 0.329993
756, 0.352531
757, 0.375432
758, 0.39743
759, 0.418759
760, 0.439854
761, 0.460044
762, 0.479854
763, 0.498665
764, 0.516423
765, 0.534908
766, 0.551394
767, 0.567553
768, 0.582846
769, 0.597254
770, 0.610752
771, 0.624154
772, 0.637011
773, 0.649143
774, 0.661763
775, 0.674572
776, 0.685206
777, 0.69576
778, 0.706668
779, 0.717717
780, 0.729398
781, 0.740091
782, 0.750109
783, 0.760572
784, 0.769644
785, 0.778889
786, 0.788121
787, 0.797202
788, 0.805755
789, 0.815399
790, 0.82435
791, 0.833315
792, 0.843231
793, 0.851013
794, 0.859835
795, 0.869064
796, 0.878133
797, 0.88671
798, 0.89604
799, 0.906026
800, 0.914126
801, 0.923169
802, 0.93168
803, 0.940663
804, 0.948269
805, 0.948269
806, 0.948269
807, 0.948269
808, 0.948269
809, 0.948269
810, 0.948269
811, 0.948269
812, 0.948269
813, 0.948269
814, 0.718012
815, 0.23513
816, 0.260957
817, 0.285063
818, 0.307482
819, 0.330717
820, 0.352749
821, 0.375613
822, 0.398606
823, 0.418897
824, 0.440703
825, 0.46151
826, 0.480394
827, 0.498877
828, 0.516453
829, 0.533195
830, 0.54878
831, 0.564688
832, 0.580047
833, 0.593944
834, 0.607462
835, 0.620708
836, 0.634
837, 0.646039
838, 0.658385
839, 0.670272
840, 0.680772
841, 0.692275
842, 0.704601
843, 0.714645
844, 0.72578
845, 0.737078
846, 0.746727
847, 0.756349
848, 0.766135
849, 0.77609
850, 0.784571
851, 0.793115
852, 0.802278
853, 0.812495
854, 0.82333
855, 0.832188
856, 0.84096
857, 0.849427
858, 0.857983
859, 0.86705
860, 0.876221
861, 0.886225
862, 0.895287
863, 0.903583
864, 0.912851
865, 0.921975
866, 0.931106
867, 0.939767
868, 0.948208
869, 0.948208
870, 0.948208
871, 0.948208
872, 0.948208
873, 0.948208
874, 0.948208
875, 0.948208
876, 0.948208
877, 0.948208
878, 0.948208
879, 0.223221
880, 0.248302
881, 0.273371
882, 0.29716
883, 0.321386
884, 0.344022
885, 0.366319
886, 0.389427
887, 0.408896
888, 0.429334
889, 0.448943
890, 0.468065
891, 0.48762
892, 0.506607
893, 0.524258
894, 0.537911
895, 0.552835
896, 0.56677
897, 0.579436
898, 0.592503
899, 0.606053
900, 0.618139
901, 0.629903
902, 0.64076
903, 0.652342
904, 0.664507
905, 0.675343
906, 0.686436
907, 0.696864
908, 0.70676
909, 0.716705
910, 0.726013
911, 0.734876
912, 0.744648
913, 0.753984
914, 0.76357
915, 0.772526
916, 0.781845
917, 0.791229
918, 0.802014
919, 0.810736
920, 0.818953
921, 0.82698
922, 0.835822
923, 0.845307
924, 0.853282
925, 0.861446
926, 0.871349
927, 0.880628
928, 0.889826
929, 0.898381
930, 0.906839
931, 0.916169
932, 0.925654
933, 0.934539
934, 0.942604
935, 0.947625
936, 0.947625
937, 0.947625
938, 0.947625
939, 0.947625
940, 0.947625
941, 0.947625
942, 0.947625
943, 0.947625
944, 0.947625
945, 0.947625
946, 0.229787
947, 0.253367
948, 0.277067
949, 0.300836
950, 0.324263
951, 0.347367
952, 0.370951
953, 0.392627
954, 0.415273
955, 0.436933
956, 0.457629
957, 0.477972
958, 0.496865
959, 0.515006
960, 0.532392
961, 0.548613
962, 0.56456
963, 0.580171
964, 0.594597
965, 0.60851
966, 0.621746
967, 0.635875
968, 0.648516
969, 0.660328
970, 0.672141
971, 0.684066
972, 0.695697
973, 0.707241
974, 0.717398
975, 0.729469
976, 0.740562
977, 0.750039
978, 0.759417
979, 0.769523
980, 0.778972
981, 0.789091
982, 0.798746
983, 0.808182
984, 0.817899
985, 0.827245
986, 0.837178
987, 0.84559
988, 0.853151
989, 0.86277
990, 0.871142
991, 0.879837
992, 0.888867
993, 0.897697
994, 0.905957
995, 0.915085
996, 0.923307
997, 0.931733
998, 0.939391
999, 0.942981
1000, 0.942981
1001, 0.942981
1002, 0.942981
1003, 0.942981
1004, 0.942981
1005, 0.942981
1006, 0.942981
1007, 0.942981
1008, 0.942981
1009, 0.942981
1010, 0.219135
1011, 0.244299
1012, 0.268902
1013, 0.293138
1014, 0.316262
1015, 0.338523
1016, 0.361694
1017, 0.384572
1018, 0.405928
1019, 0.427242
1020, 0.447959
1021, 0.467765
1022, 0.487113
1023, 0.50534
1024, 0.523091
1025, 0.539272
1026, 0.555346
1027, 0.571151
1028, 0.585574
1029, 0.599989
1030, 0.613433
1031, 0.626542
1032, 0.638939
1033, 0.651256
1034, 0.663489
1035, 0.676072
1036, 0.687372
1037, 0.698471
1038, 0.709012
1039, 0.719046
1040, 0.729032
1041, 0.73925
1042, 0.749192
1043, 0.760272
1044, 0.770147
1045, 0.780378
1046, 0.78956
1047, 0.797097
1048, 0.806041
1049, 0.816049
1050, 0.825354
1051, 0.835146
1052, 0.843577
1053, 0.852909
1054, 0.861941
1055, 0.869703
1056, 0.878566
1057, 0.887868
1058, 0.896988
1059, 0.905984
1060, 0.91363
1061, 0.922635
1062, 0.931075
1063, 0.938441
1064, 0.939251
1065, 0.939251
1066, 0.939251
1067, 0.939251
1068, 0.939251
1069, 0.939251
1070, 0.939251
1071, 0.939251
1072, 0.939251
1073, 0.939251
1074, 0.218104
1075, 0.243008
1076, 0.267989
1077, 0.292267
1078, 0.314613
1079, 0.338275
1080, 0.360385
1081, 0.382925
1082, 0.4044
1083, 0.425784
1084, 0.446351
1085, 0.467321
1086, 0.487196
1087, 0.506048
1088, 0.523314
1089, 0.540051
1090, 0.556517
1091, 0.572298
1092, 0.585853
1093, 0.600038
1094, 0.614839
1095, 0.628068
1096, 0.641083
1097, 0.652429
1098, 0.664507
1099, 0.674867
1100, 0.685989
1101, 0.696751
1102, 0.70747
1103, 0.717393
1104, 0.727501
1105, 0.73731
1106, 0.746793
1107, 0.756155
1108, 0.764832
1109, 0.775694
1110, 0.784479
1111, 0.793113
1112, 0.802974
1113, 0.81253
1114, 0.821459
1115, 0.829529
1116, 0.838135
1117, 0.846756
1118, 0.854563
1119, 0.862426
1120, 0.871258
1121, 0.879692
1122, 0.888158
1123, 0.896007
1124, 0.904727
1125, 0.913233
1126, 0.92147
1127, 0.929981
1128, 0.937819
1129, 0.93931
1130, 0.93931
1131, 0.93931
1132, 0.93931
1133, 0.93931
1134, 0.93931
1135, 0.93931
1136, 0.93931
1137, 0.93931
1138, 0.93931
1139, 0.225506
1140, 0.250695
1141, 0.27632
1142, 0.299467
1143, 0.323432
1144, 0.346867
1145, 0.368872
1146, 0.391099
1147, 0.413814
1148, 0.435325
1149, 0.456317
1150, 0.476976
1151, 0.494774
1152, 0.513714
1153, 0.531417
1154, 0.548051
1155, 0.564802
1156, 0.580208
1157, 0.594713
1158, 0.609942
1159, 0.624092
1160, 0.637338
1161, 0.650287
1162, 0.662808
1163, 0.674542
1164, 0.686071
1165, 0.697008
1166, 0.706093
1167, 0.715475
1168, 0.725715
1169, 0.734647
1170, 0.745073
1171, 0.75417
1172, 0.762272
1173, 0.769478
1174, 0.776663
1175, 0.785869
1176, 0.79444
1177, 0.803824
1178, 0.813319
1179, 0.823019
1180, 0.833014
1181, 0.842282
1182, 0.851343
1183, 0.858891
1184, 0.866676
1185, 0.875041
1186, 0.88397
1187, 0.892513
1188, 0.900104
1189, 0.9092
1190, 0.917169
1191, 0.924673
1192, 0.931497
1193, 0.939822
1194, 0.939822
1195, 0.939822
1196, 0.939822
1197, 0.939822
1198, 0.939822
1199, 0.939822
1200, 0.939822
1201, 0.939822
1202, 0.939822
1203, 0.637566
1204, 0.231873
1205, 0.257803
1206, 0.282746
1207, 0.305853
1208, 0.328172
1209, 0.351997
1210, 0.374712
1211, 0.396699
1212, 0.417645
1213, 0.438244
1214, 0.458286
1215, 0.478248
1216, 0.497118
1217, 0.514457
1218, 0.530943
1219, 0.548181
1220, 0.563424
1221, 0.57829
1222, 0.592977
1223, 0.605538
1224, 0.617843
1225, 0.629669
1226, 0.642879
1227, 0.655805
1228, 0.668387
1229, 0.678884
1230, 0.69017
1231, 0.701195
1232, 0.712815
1233, 0.723809
1234, 0.736111
1235, 0.747552
1236, 0.758403
1237, 0.768599
1238, 0.777834
1239, 0.787535
1240, 0.796862
1241, 0.804688
1242, 0.814844
1243, 0.823706
1244, 0.832417
1245, 0.841089
1246, 0.849433
1247, 0.858942
1248, 0.868445
1249, 0.878299
1250, 0.888714
1251, 0.897767
1252, 0.906248
1253, 0.91509
1254, 0.924498
1255, 0.93306
1256, 0.942179
1257, 0.943162
1258, 0.943162
1259, 0.943162
1260, 0.943162
1261, 0.943162
1262, 0.943162
1263, 0.943162
1264, 0.943162
1265, 0.943162
1266, 0.943162
